state,jurisdiction,document,pdf_url,text_url,title
Texas,Austin,Police Union Contract,https://www.checkthepolice.org/s/AustinPoliceContract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Texas/Austin/Police%20Union%20Contract.txt,Austin Police Union Contract
Texas,Corpus Christi,Police Union Contract,https://www.checkthepolice.org/s/Corpus-Christie-Police-Contract-uiao.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Texas/Corpus%20Christi/Police%20Union%20Contract.txt,Corpus Christi Police Union Contract
Texas,San Antonio,Police Union Contract,http://www.sanantonio.gov/portals/0/files/atty/CollectiveBargaining/PoliceCBA2016-2021.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Texas/San%20Antonio/San%20Antonio%20Police%20Union%20Contract.txt,San Antonio Police Union Contract
Texas,Fort Worth,Police Union Contract,https://www.checkthepolice.org/s/Fort-Worth-police-contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Texas/Fort%20Worth/Police%20Union%20Contract.txt,Fort Worth Police Union Contract
Texas,Dallas,Police Union Contract,https://www.checkthepolice.org/s/Dallas-police-contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Texas/Dallas/Police%20Union%20Contract.txt,Dallas Police Union Contract
Texas,El Paso,Police Union Contract,https://www.checkthepolice.org/s/El-Paso-police-contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Texas/El%20Paso/Police%20Union%20Contract.txt,El Paso Police Union Contract
Wisconsin,State,Wisconsin Police Bill of Rights,https://www.checkthepolice.org/s/Wisconsin-PBR.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Wisconsin/State/Wisconsin%20Police%20Bill%20of%20Rights.txt,State Wisconsin Police Bill of Rights
Wisconsin,Milwaukee,Police Union Contract,https://www.checkthepolice.org/s/milwaukee-police-contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Wisconsin/Milwaukee/Milwaukee%20Police%20Union%20Contract.txt,Milwaukee Police Union Contract 1
Wisconsin,Madison,supervisors,https://www.checkthepolice.org/s/Madisonpolicesupervisorscontract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Wisconsin/Madison/supervisors.txt,Madison supervisors
Wisconsin,Madison,non-supervisors,https://www.checkthepolice.org/s/Madisonpolicenonsupervisorscontract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Wisconsin/Madison/non-supervisors.txt,Madison non-supervisors
California,San Mateo,San Mateo Police Union Contract,https://www.checkthepolice.org/s/san-mateo.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/California/San%20Mateo/pdfUrl.txt,San Mateo Police Union Contract
California,Eureka,Eureka Police Union Contract,https://www.checkthepolice.org/s/Eureka-Police-Contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/California/Eureka/pdfUrl.txt,Eureka Police Union Contract
California,Santa Ana,non supervisor,https://www.checkthepolice.org/s/Santa-Ana-police-contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/California/Santa%20Ana/non%20supervisor.txt,Santa Ana non supervisor
California,Santa Ana,extension,https://www.checkthepolice.org/s/Santa-Ana-mou-extension.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/California/Santa%20Ana/extension.txt,Santa Ana extension
California,Santa Ana,supervisor,https://www.checkthepolice.org/s/Santa-Ana-police-supervisor-contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/California/Santa%20Ana/supervisor.txt,Santa Ana supervisor
